index	max_degree	fail_node_degree	fail_neber_degree	fail_degree_sum	max_load	big_load_num	fail_load_sum	fail_num	first_round_fail	neber_fail_num	fail_round	subgraph_num	fail_node_load	load_change	degree_change	fail_neber_load	LCC
0,80,	108	144	380	530	16227	31	32276	33	33	32	1	8	28323	58378	938	3948	290
0,81,	108	147	380	533	16264	31	32284	33	33	32	1	8	28331	58592	942	3948	290
0,82,	108	154	380	540	16097	30	32829	33	33	32	1	9	28876	60800	958	3948	289
0,83,	108	149	380	535	16266	31	32301	33	33	32	1	8	28348	58732	948	3948	290
0,84,	108	148	380	534	16252	31	32296	33	33	32	1	8	28343	58384	946	3948	290
0,85,	108	149	380	535	16265	31	32338	33	33	32	1	8	28385	58477	948	3948	290
0,86,	108	146	380	532	16250	31	32280	33	33	32	1	8	28327	58046	942	3948	290
0,87,	108	146	380	532	16290	31	32300	33	33	32	1	8	28347	58168	942	3948	290
0,88,	108	141	380	527	16224	31	32276	33	33	32	1	8	28323	58068	932	3948	290
0,89,	108	145	380	531	16254	31	32361	33	33	32	1	8	28408	58374	940	3948	290
0,90,	108	144	380	530	16278	31	32339	33	33	32	1	8	28386	57918	936	3948	290
0,91,	108	142	380	528	16240	31	32276	33	33	32	1	8	28323	58050	934	3948	290
0,92,	108	141	380	527	16224	31	32276	33	33	32	1	8	28323	58068	932	3948	290
0,93,	108	146	380	532	16249	31	32331	33	33	32	1	8	28378	58074	942	3948	290
0,94,	108	142	380	528	16240	31	32276	33	33	32	1	8	28323	58050	934	3948	290
0,95,	108	141	380	527	16223	31	32276	33	33	32	1	8	28323	57863	932	3948	290
0,96,	108	156	380	542	16123	31	33073	33	33	32	1	9	29120	61021	962	3948	289
0,97,	108	140	380	526	16222	31	32276	33	33	32	1	8	28323	57864	930	3948	290
0,98,	108	140	380	526	16222	31	32276	33	33	32	1	8	28323	57864	930	3948	290
0,99,	108	140	380	526	16222	31	32276	33	33	32	1	8	28323	57864	930	3948	290
1,2,	133	128	127	255	25836	29	19616	9	9	9	1	13	17212	49403	446	2404	308
1,3,	133	162	120	282	25528	29	26108	10	10	10	1	16	23889	58668	516	2219	303
1,4,	132	162	150	312	25535	29	25661	10	10	10	1	15	22515	56669	554	3146	304
1,5,	132	130	150	280	26018	29	19411	10	10	10	1	10	16265	46273	492	3146	310
1,6,	133	125	168	293	24702	27	28470	17	17	17	1	15	24140	72202	502	4330	296
1,7,	131	127	178	305	25503	29	25444	16	16	16	1	11	21502	61124	520	3942	303
1,8,	132	104	150	254	25992	30	17269	10	10	10	1	10	14123	44197	426	3146	310
1,9,	132	110	150	260	25964	30	16435	10	10	10	1	10	13289	44411	454	3146	310
1,10,	132	118	150	268	25768	29	18139	10	10	10	1	11	14993	47524	470	3146	309
1,11,	132	89	150	239	25699	30	16395	10	10	10	1	11	13249	46026	412	3146	309
1,12,	133	94	127	221	26124	30	15284	9	9	9	1	10	12880	42154	380	2404	311
1,13,	134	109	134	243	25043	29	21831	14	14	14	1	13	19003	59466	412	2828	303
1,14,	132	95	150	245	25934	30	15593	10	10	10	1	10	12447	43720	424	3146	310
1,15,	132	87	150	237	25936	30	16055	10	10	10	1	10	12909	43788	408	3146	310
1,16,	134	90	105	195	26316	30	14763	8	8	8	1	10	12781	39949	338	1982	312
1,17,	134	91	97	188	26409	30	14761	6	6	6	1	10	13134	38797	334	1627	313
1,18,	132	97	150	247	25944	30	15779	10	10	10	1	10	12633	43790	428	3146	310
1,19,	134	84	111	195	26316	30	14763	8	8	8	1	10	12522	39949	338	2241	312
1,20,	132	84	150	234	25919	30	16009	10	10	10	1	10	12863	43613	402	3146	310
1,21,	132	87	150	237	25925	30	15523	10	10	10	1	10	12377	43565	408	3146	310
1,22,	132	81	150	231	25910	30	15554	10	10	10	1	10	12408	43376	396	3146	310
1,23,	133	88	127	215	26079	30	14820	9	9	9	1	10	12416	42205	378	2404	311
1,24,	133	74	127	201	26019	30	14768	9	9	9	1	10	12364	41050	350	2404	311
1,25,	133	86	127	213	26067	30	14772	9	9	9	1	10	12368	42219	374	2404	311
1,26,	133	83	127	210	26063	30	14917	9	9	9	1	10	12513	42112	368	2404	311
1,27,	132	86	150	236	25929	30	15585	10	10	10	1	10	12439	43422	406	3146	310
1,28,	132	87	150	237	25925	30	15511	10	10	10	1	10	12365	43539	408	3146	310
1,29,	132	87	150	237	25916	30	15767	10	10	10	1	10	12621	43773	408	3146	310
1,30,	132	78	150	228	25911	30	15543	10	10	10	1	10	12397	43067	390	3146	310
1,31,	133	78	127	205	26040	30	14795	9	9	9	1	10	12391	41634	358	2404	311
1,32,	132	85	150	235	25907	30	16058	10	10	10	1	10	12912	43714	404	3146	310
1,33,	133	82	127	209	26083	30	14793	9	9	9	1	10	12389	41606	362	2404	311
1,34,	133	76	127	203	26042	30	14778	9	9	9	1	10	12374	41527	354	2404	311
1,35,	133	75	127	202	26035	30	14776	9	9	9	1	10	12372	41210	352	2404	311
1,36,	133	72	127	199	26042	30	14763	9	9	9	1	10	12359	40915	346	2404	311
1,37,	133	72	127	199	26039	30	14769	9	9	9	1	10	12365	40942	346	2404	311
1,38,	132	74	150	224	25858	30	15557	10	10	10	1	10	12411	42696	382	3146	310
1,39,	133	73	127	200	26046	30	14763	9	9	9	1	10	12359	40988	348	2404	311
1,40,	132	74	150	224	25851	30	15755	10	10	10	1	10	12609	42996	382	3146	310
1,41,	133	71	127	198	26018	30	14763	9	9	9	1	10	12359	40879	344	2404	311
1,42,	133	72	127	199	25728	30	15104	9	9	9	1	11	12700	42282	346	2404	310
1,43,	133	71	127	198	26010	30	14766	9	9	9	1	10	12362	40892	344	2404	311
1,44,	133	69	127	196	26006	30	14763	9	9	9	1	10	12359	40696	340	2404	311
1,45,	133	72	127	199	26009	30	14764	9	9	9	1	10	12360	40859	346	2404	311
1,46,	127	186	272	458	24046	30	36092	17	17	17	1	23	30434	76121	788	5658	289
1,47,	132	127	143	270	26090	29	24240	9	9	9	1	12	21118	50799	466	3122	309
1,48,	132	114	150	264	26002	29	18112	10	10	10	1	10	14966	45223	460	3146	310
1,49,	131	115	159	274	25751	29	18016	11	11	11	1	10	14866	46766	480	3150	309
1,50,	132	118	150	268	25969	30	16875	10	10	10	1	10	13729	44792	470	3146	310
1,51,	132	135	150	285	26058	29	20598	10	10	10	1	10	17452	46636	502	3146	310
1,52,	132	138	150	288	26095	29	24732	10	10	10	1	10	21586	50879	506	3146	310
1,53,	133	92	143	235	24187	28	21749	11	11	11	1	15	18529	66001	406	3220	298
1,54,	133	146	132	278	26092	29	27113	10	10	10	1	13	24700	55197	494	2413	307
1,55,	133	117	127	244	26187	29	17466	9	9	9	1	10	15062	43574	424	2404	311
1,56,	132	124	150	274	25985	29	18332	10	10	10	1	10	15186	45637	480	3146	310
1,57,	133	130	139	269	26029	29	19526	11	11	11	1	10	16992	48189	480	2534	309
1,58,	131	116	159	275	25605	29	18913	11	11	11	1	11	15577	48782	480	3336	308
1,59,	132	102	150	252	25958	30	15991	10	10	10	1	10	12845	43917	438	3146	310
1,60,	132	112	150	262	25831	30	17374	10	10	10	1	11	14228	46380	456	3146	309
1,61,	132	95	150	245	25928	30	16374	10	10	10	1	10	13228	44435	424	3146	310
1,62,	133	94	150	244	26152	30	16506	10	10	10	1	10	13360	43919	422	3146	310
1,63,	132	103	150	253	25981	30	16495	10	10	10	1	10	13349	44099	438	3146	310
1,64,	132	101	150	251	25961	30	16181	10	10	10	1	10	13035	44099	434	3146	310
1,65,	132	109	150	259	25984	30	16844	10	10	10	1	10	13698	44357	450	3146	310
1,66,	134	88	107	195	26316	30	14763	8	8	8	1	10	12721	39949	338	2042	312
1,67,	133	91	127	218	26137	30	15505	9	9	9	1	10	13101	41621	370	2404	311
1,68,	132	102	150	252	25976	30	16363	10	10	10	1	10	13217	44020	436	3146	310
1,69,	132	85	150	235	25906	30	16070	10	10	10	1	10	12924	43722	402	3146	310
1,70,	132	82	150	232	25917	30	15899	10	10	10	1	10	12753	43518	398	3146	310
1,71,	132	90	150	240	25925	30	16006	10	10	10	1	10	12860	43843	414	3146	310
1,72,	132	83	150	233	25932	30	15661	10	10	10	1	10	12515	43414	400	3146	310
1,73,	133	78	150	228	26081	30	15695	10	10	10	1	10	12549	43729	390	3146	310
1,74,	132	86	150	236	25915	30	15827	10	10	10	1	10	12681	43659	406	3146	310
1,75,	132	77	150	227	25906	30	15672	10	10	10	1	10	12526	43208	388	3146	310
1,76,	134	75	130	205	26270	30	15150	9	9	9	1	10	12366	41739	354	2784	311
1,77,	133	74	150	224	26044	30	15571	10	10	10	1	10	12425	43367	382	3146	310
1,78,	133	74	150	224	26044	30	15569	10	10	10	1	10	12423	43421	382	3146	310
1,79,	132	80	150	230	25906	30	15775	10	10	10	1	10	12629	43398	394	3146	310
1,80,	133	73	150	223	26044	30	15505	10	10	10	1	10	12359	43456	380	3146	310
1,81,	132	76	150	226	25893	30	15513	10	10	10	1	10	12367	42932	386	3146	310
1,82,	138	83	14	97	27189	30	12938	3	3	3	1	10	12912	30749	184	26	317
1,83,	133	78	150	228	26063	30	15530	10	10	10	1	10	12384	43753	390	3146	310
1,84,	133	77	150	227	26060	30	15525	10	10	10	1	10	12379	43340	388	3146	310
1,85,	133	78	150	228	26063	30	15567	10	10	10	1	10	12421	43385	390	3146	310
1,86,	133	75	150	225	26057	30	15509	10	10	10	1	10	12363	42986	384	3146	310
1,87,	133	75	122	197	26281	30	15401	7	7	7	1	10	12383	38427	348	3018	313
1,88,	133	70	150	220	26044	30	15505	10	10	10	1	10	12359	42997	374	3146	310
1,89,	133	74	150	224	26067	30	15590	10	10	10	1	10	12444	43301	382	3146	310
1,90,	132	73	150	223	25882	30	15568	10	10	10	1	10	12422	42722	380	3146	310
1,91,	133	71	150	221	26063	30	15505	10	10	10	1	10	12359	42909	376	3146	310
1,92,	133	70	150	220	26044	30	15505	10	10	10	1	10	12359	42997	374	3146	310
1,93,	133	75	150	225	26057	30	15560	10	10	10	1	10	12414	42940	384	3146	310
1,94,	133	71	150	221	26063	30	15505	10	10	10	1	10	12359	42909	376	3146	310
1,95,	133	70	150	220	26044	30	15505	10	10	10	1	10	12359	42770	374	3146	310
1,96,	133	85	150	235	26042	30	16302	10	10	10	1	11	13156	46865	404	3146	309
1,97,	133	69	150	219	26044	30	15505	10	10	10	1	10	12359	42771	372	3146	310
1,98,	133	69	150	219	26044	30	15505	10	10	10	1	10	12359	42771	372	3146	310
1,99,	133	69	150	219	26044	30	15505	10	10	10	1	10	12359	42771	372	3146	310
2,3,	136	154	15	169	26845	30	16620	2	2	2	1	10	16383	32121	330	237	318
2,4,	137	154	0	154	27231	30	15009	0	0	0	0	9	15009	27069	306	0	321
2,5,	137	122	0	122	27722	31	8759	0	0	0	0	4	8759	15517	242	0	327
2,6,	137	117	45	162	26212	30	18073	8	8	8	1	9	16634	43963	298	1439	312
2,7,	135	119	42	161	27061	30	15221	6	6	6	1	5	13996	30731	304	1225	320
2,8,	137	96	0	96	27698	31	6617	0	0	0	0	4	6617	13582	190	0	327
2,9,	137	102	0	102	27658	32	5783	0	0	0	0	4	5783	13469	204	0	327
2,10,	137	110	0	110	27450	31	7487	0	0	0	0	5	7487	16775	220	0	326
2,11,	137	81	0	81	27381	32	5743	0	0	0	0	5	5743	15141	162	0	326
2,12,	137	86	0	86	27650	31	5374	0	0	0	0	4	5374	12767	170	0	327
2,13,	137	101	50	151	26466	29	12527	8	8	8	1	6	11497	34642	266	1030	317
2,14,	137	87	0	87	27628	32	4941	0	0	0	0	4	4941	12669	174	0	327
2,15,	137	79	0	79	27626	32	5403	0	0	0	0	4	5403	12678	156	0	327
2,16,	137	82	0	82	27655	31	5275	0	0	0	0	4	5275	12444	162	0	327
2,17,	137	83	0	83	27643	31	5628	0	0	0	0	4	5628	12808	164	0	327
2,18,	137	89	0	89	27638	32	5127	0	0	0	0	4	5127	12763	178	0	327
2,19,	137	76	0	76	27623	31	5016	0	0	0	0	4	5016	12139	150	0	327
2,20,	137	76	0	76	27609	32	5357	0	0	0	0	4	5357	12410	150	0	327
2,21,	137	79	0	79	27619	32	4871	0	0	0	0	4	4871	12485	158	0	327
2,22,	137	73	0	73	27600	32	4902	0	0	0	0	4	4902	12207	144	0	327
2,23,	137	80	0	80	27590	32	4910	0	0	0	0	4	4910	12886	160	0	327
2,24,	137	66	0	66	27530	32	4858	0	0	0	0	4	4858	11570	132	0	327
2,25,	137	78	0	78	27578	32	4862	0	0	0	0	4	4862	12884	156	0	327
2,26,	137	75	0	75	27574	32	5007	0	0	0	0	4	5007	12758	150	0	327
2,27,	137	78	0	78	27623	32	4933	0	0	0	0	4	4933	12321	156	0	327
2,28,	137	79	0	79	27619	32	4859	0	0	0	0	4	4859	12455	158	0	327
2,29,	137	79	0	79	27610	32	5115	0	0	0	0	4	5115	12686	158	0	327
2,30,	137	70	0	70	27605	32	4891	0	0	0	0	4	4891	11928	140	0	327
2,31,	137	70	0	70	27551	32	4885	0	0	0	0	4	4885	12215	140	0	327
2,32,	137	77	0	77	27601	32	5406	0	0	0	0	4	5406	12609	154	0	327
2,33,	137	74	0	74	27610	31	4883	0	0	0	0	4	4883	12142	146	0	327
2,34,	137	68	0	68	27553	32	4868	0	0	0	0	4	4868	12094	136	0	327
2,35,	137	67	0	67	27546	32	4866	0	0	0	0	4	4866	11755	134	0	327
2,36,	137	64	0	64	27553	32	4853	0	0	0	0	4	4853	11435	128	0	327
2,37,	137	64	0	64	27550	32	4859	0	0	0	0	4	4859	11463	128	0	327
2,38,	137	66	0	66	27551	32	4905	0	0	0	0	4	4905	11511	132	0	327
2,39,	137	65	0	65	27557	32	4853	0	0	0	0	4	4853	11513	130	0	327
2,40,	137	66	0	66	27543	32	5103	0	0	0	0	4	5103	11814	132	0	327
2,41,	137	63	0	63	27529	32	4853	0	0	0	0	4	4853	11386	126	0	327
2,42,	137	64	0	64	27223	32	5194	0	0	0	0	5	5194	12906	128	0	326
2,43,	137	63	0	63	27521	32	4856	0	0	0	0	4	4856	11397	126	0	327
2,44,	137	61	0	61	27517	32	4853	0	0	0	0	4	4853	11188	122	0	327
2,45,	137	64	0	64	27520	32	4854	0	0	0	0	4	4854	11365	128	0	327
2,46,	135	178	44	222	26445	31	23068	4	4	4	1	17	22928	38740	436	140	309
2,47,	137	119	0	119	27744	31	13612	0	0	0	0	5	13612	20789	236	0	326
2,48,	137	106	0	106	27705	31	7460	0	0	0	0	4	7460	14298	210	0	327
2,49,	136	107	9	116	27446	31	7364	1	1	1	1	4	7360	15958	232	4	326
2,50,	137	110	0	110	27663	32	6223	0	0	0	0	4	6223	13848	220	0	327
2,51,	137	127	0	127	27761	31	9946	0	0	0	0	4	9946	15905	252	0	327
2,52,	137	130	0	130	27796	31	14080	0	0	0	0	4	14080	19894	258	0	327
2,53,	137	84	16	100	25692	30	11839	2	2	2	1	9	11023	37749	192	816	314
2,54,	137	138	5	143	27615	32	17203	1	1	1	1	7	17194	26339	282	9	323
2,55,	137	109	0	109	27714	31	7556	0	0	0	0	4	7556	14486	216	0	327
2,56,	137	116	0	116	27689	31	7680	0	0	0	0	4	7680	14760	230	0	327
2,57,	137	122	12	134	27553	31	9616	2	2	2	1	4	9486	19219	266	130	325
2,58,	136	108	9	117	27288	30	8261	1	1	1	1	5	8071	18128	230	190	325
2,59,	137	94	0	94	27652	32	5339	0	0	0	0	4	5339	12936	188	0	327
2,60,	137	104	0	104	27531	31	6722	0	0	0	0	5	6722	15482	206	0	326
2,61,	137	87	0	87	27618	32	5722	0	0	0	0	4	5722	13310	172	0	327
2,62,	138	86	0	86	27857	32	5854	0	0	0	0	4	5854	12885	172	0	327
2,63,	137	95	0	95	27684	32	5843	0	0	0	0	4	5843	13022	188	0	327
2,64,	137	93	0	93	27669	32	5529	0	0	0	0	4	5529	12976	186	0	327
2,65,	137	101	0	101	27697	32	6192	0	0	0	0	4	6192	13102	200	0	327
2,66,	137	80	0	80	27628	31	5215	0	0	0	0	4	5215	12418	158	0	327
2,67,	137	83	0	83	27665	32	5595	0	0	0	0	4	5595	12512	164	0	327
2,68,	137	94	0	94	27679	31	5711	0	0	0	0	4	5711	12941	186	0	327
2,69,	137	77	0	77	27610	31	5418	0	0	0	0	4	5418	12615	152	0	327
2,70,	137	74	0	74	27607	32	5247	0	0	0	0	4	5247	12317	146	0	327
2,71,	137	82	0	82	27619	32	5354	0	0	0	0	4	5354	12773	164	0	327
2,72,	137	75	0	75	27622	32	5009	0	0	0	0	4	5009	12275	148	0	327
2,73,	138	70	0	70	27787	31	5043	0	0	0	0	4	5043	12599	140	0	327
2,74,	137	78	0	78	27609	32	5175	0	0	0	0	4	5175	12561	156	0	327
2,75,	137	69	0	69	27596	32	5020	0	0	0	0	4	5020	11950	136	0	327
2,76,	138	67	0	67	27791	32	4860	0	0	0	0	4	4860	11866	132	0	327
2,77,	138	66	0	66	27750	32	4919	0	0	0	0	4	4919	12200	132	0	327
2,78,	138	66	0	66	27750	32	4917	0	0	0	0	4	4917	12250	132	0	327
2,79,	137	72	0	72	27596	32	5123	0	0	0	0	4	5123	12164	142	0	327
2,80,	138	65	0	65	27750	32	4853	0	0	0	0	4	4853	12264	130	0	327
2,81,	137	68	0	68	27587	31	4861	0	0	0	0	4	4861	11769	136	0	327
2,82,	138	75	0	75	27741	31	5406	0	0	0	0	5	5406	15396	150	0	326
2,83,	138	70	0	70	27769	32	4878	0	0	0	0	4	4878	12611	140	0	327
2,84,	138	69	0	69	27766	32	4873	0	0	0	0	4	4873	12176	138	0	327
2,85,	138	70	0	70	27769	32	4915	0	0	0	0	4	4915	12233	140	0	327
2,86,	138	67	0	67	27763	32	4857	0	0	0	0	4	4857	11805	134	0	327
2,87,	138	67	0	67	27791	32	4877	0	0	0	0	4	4877	11916	134	0	327
2,88,	138	62	0	62	27750	32	4853	0	0	0	0	4	4853	11817	124	0	327
2,89,	138	66	0	66	27773	32	4938	0	0	0	0	4	4938	12138	132	0	327
2,90,	137	65	0	65	27576	32	4916	0	0	0	0	4	4916	11543	130	0	327
2,91,	138	63	0	63	27769	32	4853	0	0	0	0	4	4853	11732	126	0	327
2,92,	138	62	0	62	27750	32	4853	0	0	0	0	4	4853	11817	124	0	327
2,93,	138	67	0	67	27763	32	4908	0	0	0	0	4	4908	11767	134	0	327
2,94,	138	63	0	63	27769	32	4853	0	0	0	0	4	4853	11732	126	0	327
2,95,	138	62	0	62	27750	32	4853	0	0	0	0	4	4853	11580	124	0	327
2,96,	138	77	0	77	27748	32	5650	0	0	0	0	5	5650	15847	154	0	326
2,97,	138	61	0	61	27750	32	4853	0	0	0	0	4	4853	11581	122	0	327
2,98,	138	61	0	61	27750	32	4853	0	0	0	0	4	4853	11581	122	0	327
2,99,	138	61	0	61	27750	32	4853	0	0	0	0	4	4853	11581	122	0	327
3,4,	136	188	15	203	26722	30	21923	2	2	2	1	12	21686	38793	400	237	315
3,5,	136	156	15	171	27205	30	15673	2	2	2	1	7	15436	27376	336	237	321
3,6,	136	151	60	211	25704	29	24987	10	10	10	1	12	23311	54799	392	1676	306
3,7,	134	153	57	210	26545	30	22135	8	8	8	1	8	20673	41943	398	1462	314
3,8,	136	130	15	145	27180	31	13531	2	2	2	1	7	13294	25350	284	237	321
3,9,	136	136	15	151	27137	31	12697	2	2	2	1	7	12460	25341	296	237	321
3,10,	136	144	15	159	26924	30	14401	2	2	2	1	8	14164	28367	312	237	320
3,11,	136	115	15	130	26855	31	12657	2	2	2	1	8	12420	26821	254	237	320
3,12,	136	120	15	135	27132	31	12288	2	2	2	1	7	12051	24534	264	237	321
3,13,	136	135	65	200	25998	30	19441	10	10	10	1	9	18174	45812	362	1267	311
3,14,	136	121	15	136	27106	31	11855	2	2	2	1	7	11618	24504	266	237	321
3,15,	136	113	15	128	27108	31	12317	2	2	2	1	7	12080	24518	250	237	321
3,16,	136	116	15	131	27137	31	12189	2	2	2	1	7	11952	24220	256	237	321
3,17,	136	117	15	132	27134	31	12542	2	2	2	1	7	12305	24648	260	237	321
3,18,	136	123	15	138	27117	31	12041	2	2	2	1	7	11804	24602	270	237	321
3,19,	136	110	15	125	27114	31	11930	2	2	2	1	7	11693	24028	246	237	321
3,20,	136	110	15	125	27091	31	12271	2	2	2	1	7	12034	24276	244	237	321
3,21,	136	113	15	128	27097	31	11785	2	2	2	1	7	11548	24301	250	237	321
3,22,	136	107	15	122	27082	31	11816	2	2	2	1	7	11579	24064	238	237	321
3,23,	136	114	15	129	27066	31	11824	2	2	2	1	7	11587	24668	252	237	321
3,24,	136	100	15	115	27018	31	11772	2	2	2	1	7	11535	23434	226	237	321
