index	max_degree	fail_node_degree	fail_neber_degree	fail_degree_sum	max_load	big_load_num	fail_load_sum	fail_num	first_round_fail	neber_fail_num	fail_round	subgraph_num	fail_node_load	load_change	degree_change	fail_neber_load	LCC
58,	97	2	0	2	48645	48	287	0	0	0	0	1	287	2007	4	0	2	
59,	96	2	0	2	48326	48	0	0	0	0	0	1	0	1754	4	0	2	
60,	97	4	0	4	48725	48	1034	0	0	0	0	1	1034	2299	8	0	2	
61,	96	4	0	4	48389	48	205	0	0	0	0	1	205	2090	8	0	2	
62,	96	9	0	9	48492	48	443	0	0	0	0	1	443	2432	18	0	2	
63,	96	3	0	3	47895	48	491	0	0	0	0	2	491	3993	6	0	2	
64,	97	6	3	9	48457	48	1604	1	1	1	1	3	1380	10108	18	224	1	
65,	97	2	0	2	48650	48	760	0	0	0	0	1	760	2296	4	0	2	
66,	97	1	0	1	48645	48	0	0	0	0	0	1	0	1721	2	0	2	
67,	97	1	0	1	48645	48	0	0	0	0	0	1	0	1721	2	0	2	
68,	95	44	62	110	45221	39	22449	18	18	16	1	10	13275	103483	202	9044	0	
69,	97	1	0	1	48652	47	0	0	0	0	0	1	0	4029	2	0	2	
70,	97	4	0	4	48442	45	1087	0	0	0	0	3	1087	11517	8	0	1	
71,	97	2	0	2	48672	48	88	0	0	0	0	1	88	2532	4	0	2	
72,	97	6	4	12	48229	47	2003	2	2	1	1	4	1528	15913	24	354	1	
73,	97	4	0	4	48661	47	354	0	0	0	0	1	354	3792	8	0	2	
74,	97	1	0	1	48684	48	0	0	0	0	0	1	0	2254	2	0	2	
75,	97	8	0	8	48384	47	4002	0	0	0	0	5	4002	12817	16	0	1	
76,	97	2	0	2	48713	48	0	0	0	0	0	1	0	3017	4	0	2	
77,	97	1	0	1	48636	48	0	0	0	0	0	1	0	1632	2	0	2	
78,	96	1	0	1	48268	48	0	0	0	0	0	1	0	1612	2	0	2	
79,	97	2	0	2	48651	47	71	0	0	0	0	1	71	4155	4	0	2	
80,	97	3	0	3	48636	48	536	0	0	0	0	1	536	2492	6	0	2	
81,	97	2	0	2	48713	48	0	0	0	0	0	1	0	3017	4	0	2	
82,	97	2	0	2	48579	48	0	0	0	0	0	1	0	2318	4	0	2	
83,	97	3	0	3	48637	48	340	0	0	0	0	1	340	1992	6	0	2	
84,	97	10	9	19	48070	46	3256	3	3	3	1	3	2270	15083	32	986	1	
85,	97	4	0	4	48677	47	257	0	0	0	0	1	257	3787	8	0	2	
86,	97	2	0	2	48671	47	173	0	0	0	0	1	173	3522	4	0	2	
87,	97	5	0	5	48416	48	1427	0	0	0	0	3	1427	6283	10	0	1	
88,	97	1	0	1	48556	48	0	0	0	0	0	1	0	2427	2	0	2	
89,	97	1	0	1	48651	47	0	0	0	0	0	1	0	3608	2	0	2	
90,	95	28	2	30	48220	47	5025	1	1	1	1	2	4806	10906	60	219	1	
91,	97	1	0	1	48702	48	0	0	0	0	0	1	0	2717	2	0	2	
92,	97	3	0	3	48549	47	220	0	0	0	0	1	220	2900	6	0	2	
93,	96	10	3	15	47839	47	2467	2	2	1	1	2	1990	7594	28	259	1	
94,	97	1	0	1	48560	48	0	0	0	0	0	1	0	2384	2	0	2	
95,	97	1	0	1	48636	48	0	0	0	0	0	1	0	1632	2	0	2	
96,	97	1	0	1	48652	47	0	0	0	0	0	1	0	4029	2	0	2	
97,	96	1	0	1	48268	48	0	0	0	0	0	1	0	1612	2	0	2	
98,	97	2	0	2	48637	48	53	0	0	0	0	1	53	1885	4	0	2	
99,	97	2	0	2	48651	48	76	0	0	0	0	1	76	1858	4	0	2	
100,	97	2	0	2	48636	48	73	0	0	0	0	1	73	1778	4	0	2	
101,	97	1	0	1	48649	48	0	0	0	0	0	1	0	1987	2	0	2	
102,	97	3	0	3	48539	48	1075	0	0	0	0	2	1075	4067	6	0	2	
103,	97	1	0	1	48636	48	0	0	0	0	0	1	0	1632	2	0	2	
104,	96	3	0	3	48366	48	148	0	0	0	0	1	148	1779	6	0	2	
105,	97	2	0	2	48401	48	3	0	0	0	0	1	3	2946	4	0	2	
106,	97	2	0	2	48401	48	3	0	0	0	0	1	3	2946	4	0	2	
107,	97	2	0	2	48583	48	13	0	0	0	0	1	13	2561	4	0	2	
108,	97	3	0	3	48686	48	162	0	0	0	0	1	162	2904	6	0	2	
109,	97	3	0	3	48694	48	468	0	0	0	0	1	468	2390	6	0	2	
110,	97	2	0	2	48668	48	408	0	0	0	0	1	408	2225	4	0	2	
111,	97	2	0	2	48653	47	144	0	0	0	0	1	144	3791	4	0	2	
112,	97	1	0	1	48556	48	0	0	0	0	0	1	0	2427	2	0	2	
113,	96	1	0	1	48268	48	0	0	0	0	0	1	0	1612	2	0	2	
114,	96	3	0	5	48013	49	888	1	1	0	1	1	682	3907	10	0	2	
115,	97	5	0	5	48608	48	778	0	0	0	0	1	778	4269	10	0	2	
116,	97	3	0	3	48654	48	713	0	0	0	0	1	713	2531	6	0	2	
117,	97	4	0	4	48684	48	216	0	0	0	0	1	216	2198	8	0	2	
118,	97	2	0	2	48627	48	40	0	0	0	0	1	40	2307	4	0	2	
119,	97	3	0	3	48677	46	98	0	0	0	0	1	98	3387	6	0	2	
120,	97	3	0	3	48692	47	35	0	0	0	0	1	35	2948	6	0	2	
121,	97	4	0	4	48700	48	1955	0	0	0	0	1	1955	2840	8	0	2	
122,	96	2	0	2	48331	47	1913	0	0	0	0	1	1913	3385	4	0	2	
123,	97	2	0	2	48672	48	88	0	0	0	0	1	88	2532	4	0	2	
124,	97	3	0	3	48673	48	224	0	0	0	0	1	224	2743	6	0	2	
125,	97	2	0	2	48563	48	4	0	0	0	0	1	4	2533	4	0	2	
126,	97	5	0	5	48649	48	231	0	0	0	0	1	231	2552	10	0	2	
127,	97	2	0	2	48651	48	422	0	0	0	0	1	422	2154	4	0	2	
128,	97	2	0	2	48713	48	0	0	0	0	0	1	0	3017	4	0	2	
129,	97	2	0	2	48635	48	1281	0	0	0	0	1	1281	3234	4	0	2	
130,	97	6	0	6	48703	48	1816	0	0	0	0	1	1816	3117	12	0	2	
131,	97	3	2	5	48487	47	165	1	1	1	1	1	150	6426	10	15	2	
132,	97	5	0	5	48649	48	1226	0	0	0	0	1	1226	2363	10	0	2	
133,	97	3	0	3	48640	48	32	0	0	0	0	1	32	1866	6	0	2	
134,	97	3	5	8	48382	46	670	2	2	2	1	1	391	8841	16	279	1	
135,	97	3	2	5	48468	48	1438	1	1	1	1	2	1303	7937	10	135	1	
136,	97	2	0	2	48652	47	113	0	0	0	0	1	113	4511	4	0	2	
137,	97	2	0	2	48658	48	1216	0	0	0	0	1	1216	2784	4	0	2	
138,	97	2	0	2	48652	47	113	0	0	0	0	1	113	4511	4	0	2	
139,	97	2	0	2	48519	48	102	0	0	0	0	1	102	2714	4	0	2	
140,	97	2	0	2	48668	47	34	0	0	0	0	1	34	3677	4	0	2	
141,	97	2	0	2	48673	47	98	0	0	0	0	1	98	3915	4	0	2	
142,	97	2	0	2	48624	48	156	0	0	0	0	1	156	1856	4	0	2	
143,	97	2	0	2	48668	47	34	0	0	0	0	1	34	3677	4	0	2	
144,	97	2	0	2	48498	48	69	0	0	0	0	1	69	2543	4	0	2	
145,	97	2	0	2	48642	48	777	0	0	0	0	1	777	2350	4	0	2	
146,	97	3	0	3	48642	48	177	0	0	0	0	1	177	1988	6	0	2	
147,	97	3	0	3	48506	47	160	0	0	0	0	1	160	2630	6	0	2	
148,	97	3	0	3	48698	48	118	0	0	0	0	1	118	3111	6	0	2	
149,	97	2	0	2	48432	48	154	0	0	0	0	1	154	2438	4	0	2	
150,	96	4	2	6	47975	47	701	1	1	1	1	2	603	7683	12	98	1	
151,	97	2	0	2	48554	47	277	0	0	0	0	1	277	2964	4	0	2	
152,	97	2	0	2	48548	47	36	0	0	0	0	1	36	2688	4	0	2	
153,	97	1	0	1	48548	47	0	0	0	0	0	1	0	2419	2	0	2	
154,	97	1	0	1	48627	48	0	0	0	0	0	1	0	2056	2	0	2	
155,	97	4	3	7	48626	46	525	1	1	1	1	1	427	6070	14	98	2	
156,	97	2	0	2	48642	48	40	0	0	0	0	1	40	2394	4	0	2	
157,	97	1	0	1	48602	47	0	0	0	0	0	1	0	2748	2	0	2	
158,	97	6	0	6	48556	47	1887	0	0	0	0	2	1887	6310	12	0	2	
159,	97	5	0	5	48709	49	1202	0	0	0	0	1	1202	1875	10	0	2	
160,	96	3	0	3	48364	48	165	0	0	0	0	1	165	1798	6	0	2	
161,	97	3	0	3	48657	47	259	0	0	0	0	1	259	2363	6	0	2	
162,	97	2	0	2	48478	47	0	0	0	0	0	1	0	2539	4	0	2	
163,	96	3	0	3	48297	48	175	0	0	0	0	1	175	1974	6	0	2	
164,	97	1	0	1	48672	48	0	0	0	0	0	1	0	3204	2	0	2	
165,	97	3	0	3	48585	47	496	0	0	0	0	2	496	5922	6	0	2	
166,	97	1	0	1	48712	48	0	0	0	0	0	1	0	3116	2	0	2	
167,	97	7	0	7	48430	46	2985	0	0	0	0	6	2985	21891	14	0	0	
168,	97	3	2	5	48578	48	60	1	1	1	1	1	58	6471	10	2	2	
169,	97	6	0	6	48666	48	1084	0	0	0	0	1	1084	4018	12	0	2	
170,	97	8	2	10	48542	46	2633	1	1	1	1	2	2564	9427	20	69	1	
171,	97	14	12	26	47482	47	4302	4	4	4	1	3	3330	22351	48	972	0	
172,	96	11	2	13	48270	48	1120	1	1	1	1	1	937	4401	26	183	2	
173,	97	3	0	3	48652	48	90	0	0	0	0	1	90	2089	6	0	2	
174,	97	2	0	2	48473	48	491	0	0	0	0	2	491	4591	4	0	2	
175,	95	21	20	45	45406	44	10402	8	2	6	2	2	7302	33034	80	2560	0	
176,	96	16	19	35	46476	47	7050	5	5	5	1	3	6287	21185	68	763	0	
177,	96	25	20	45	45251	45	13276	7	7	7	1	5	11729	42032	88	1547	0	
178,	97	3	0	3	48351	47	1167	0	0	0	0	2	1167	8054	6	0	1	
179,	97	6	0	12	48106	48	2310	2	2	0	1	2	1418	11508	22	0	1	
180,	97	12	3	15	48570	47	3318	1	1	1	1	2	3269	9535	30	49	1	
181,	97	7	0	7	48706	48	1100	0	0	0	0	1	1100	3324	14	0	2	
182,	97	2	0	2	48617	48	33	0	0	0	0	1	33	2257	4	0	2	
183,	96	10	3	13	48036	47	1397	1	1	1	1	2	1247	9509	26	150	1	
184,	97	1	0	1	48636	48	0	0	0	0	0	1	0	1632	2	0	2	
185,	97	1	0	1	48636	48	0	0	0	0	0	1	0	1632	2	0	2	
186,	97	11	0	11	48690	48	1212	0	0	0	0	1	1212	3363	22	0	2	
187,	97	3	0	3	48639	48	182	0	0	0	0	1	182	2068	6	0	2	
188,	96	5	0	5	48465	48	346	0	0	0	0	1	346	1528	10	0	2	
189,	97	2	0	2	48636	48	199	0	0	0	0	1	199	1846	4	0	2	
190,	97	4	8	12	48208	48	1633	2	2	2	1	2	945	9130	22	688	1	
191,	97	7	0	7	48794	47	2559	0	0	0	0	2	2559	5276	14	0	2	
192,	96	7	0	9	48073	46	2695	1	1	0	1	2	2677	8934	18	0	1	
193,	97	5	5	10	48863	47	1256	1	1	1	1	1	1052	5457	20	204	2	
194,	97	2	0	2	48657	48	605	0	0	0	0	1	605	2334	4	0	2	
195,	97	1	0	1	48636	48	0	0	0	0	0	1	0	1632	2	0	2	
196,	97	1	0	1	48560	48	0	0	0	0	0	1	0	2384	2	0	2	
197,	97	2	0	2	48644	47	21	0	0	0	0	1	21	2480	4	0	2	
198,	97	1	0	1	48616	47	0	0	0	0	0	1	0	3324	2	0	2	
199,	97	2	0	2	48473	46	491	0	0	0	0	2	491	6157	4	0	2	
200,	97	1	0	1	48712	48	0	0	0	0	0	1	0	3605	2	0	2	
201,	97	2	0	2	48665	48	491	0	0	0	0	2	491	6719	4	0	2	
202,	97	1	0	1	48712	48	0	0	0	0	0	1	0	3116	2	0	2	
203,	97	1	0	1	48712	48	0	0	0	0	0	1	0	3116	2	0	2	
204,	97	4	0	4	48541	48	540	0	0	0	0	1	540	3038	8	0	2	
205,	96	2	0	2	48029	48	666	0	0	0	0	1	666	2260	4	0	2	
206,	97	5	0	5	48766	48	1474	0	0	0	0	1	1474	2222	10	0	2	
207,	97	2	0	2	48672	48	222	0	0	0	0	1	222	2971	4	0	2	
208,	97	3	0	3	48639	48	285	0	0	0	0	1	285	2072	6	0	2	
209,	97	1	0	1	48702	48	0	0	0	0	0	1	0	2717	2	0	2	
210,	97	2	0	2	48620	47	65	0	0	0	0	1	65	3085	4	0	2	
211,	97	8	0	8	48423	47	2202	0	0	0	0	3	2202	11192	16	0	1	
212,	97	5	0	5	48096	48	1179	0	0	0	0	2	1179	7644	10	0	2	
213,	96	3	0	3	47292	48	981	0	0	0	0	3	981	5805	6	0	1	
214,	96	2	0	2	48269	48	132	0	0	0	0	1	132	1789	4	0	2	
215,	96	3	0	3	48387	48	0	0	0	0	0	1	0	1917	6	0	2	
216,	96	2	0	2	48317	48	0	0	0	0	0	1	0	1867	4	0	2	
217,	96	2	0	2	48317	48	0	0	0	0	0	1	0	1867	4	0	2	
218,	96	6	2	8	47383	48	1344	1	1	1	1	2	1342	6983	16	2	1	
219,	96	3	0	3	48279	48	128	0	0	0	0	1	128	2133	6	0	2	
220,	96	2	0	2	48362	48	0	0	0	0	0	1	0	1577	4	0	2	
221,	96	4	0	4	48278	48	1131	0	0	0	0	1	1131	2938	8	0	2	
222,	96	4	3	7	47462	48	1464	1	1	1	1	2	1312	7399	14	152	1	
223,	96	3	2	5	47759	48	702	1	1	1	1	2	475	6669	10	227	1	
224,	96	1	0	1	48268	48	0	0	0	0	0	1	0	1612	2	0	2	
225,	96	2	0	2	48348	48	0	0	0	0	0	1	0	1764	4	0	2	
226,	96	2	0	2	48362	48	0	0	0	0	0	1	0	1577	4	0	2	
227,	96	4	2	6	46970	46	1643	1	1	1	1	2	1366	6905	12	277	1	
228,	96	2	0	2	48348	48	0	0	0	0	0	1	0	1764	4	0	2	
229,	96	3	0	3	47967	48	491	0	0	0	0	2	491	3639	6	0	2	
230,	96	2	0	2	47348	50	1218	0	0	0	0	1	1218	2709	4	0	2	
231,	96	3	0	3	48270	48	230	0	0	0	0	1	230	2006	6	0	2	
232,	96	1	0	1	48268	48	0	0	0	0	0	1	0	1612	2	0	2	
233,	96	2	0	2	47779	48	491	0	0	0	0	2	491	3711	4	0	2	
234,	96	2	0	2	48269	48	219	0	0	0	0	1	219	1843	4	0	2	
235,	96	1	0	1	48268	48	0	0	0	0	0	1	0	1612	2	0	2	
236,	96	3	0	3	48273	48	369	0	0	0	0	1	369	2151	6	0	2	
237,	96	1	0	1	48268	48	0	0	0	0	0	1	0	1612	2	0	2	
238,	96	5	3	8	47544	48	995	1	1	1	1	2	804	7697	14	191	1	
239,	96	5	0	5	47997	48	1457	0	0	0	0	2	1457	5071	10	0	2	
240,	96	3	0	3	48288	48	22	0	0	0	0	1	22	2071	6	0	2	
241,	96	2	0	2	48299	48	0	0	0	0	0	1	0	1633	4	0	2	
242,	96	2	0	2	48269	48	193	0	0	0	0	1	193	1845	4	0	2	
243,	96	3	0	3	47292	48	981	0	0	0	0	3	981	5805	6	0	1	
244,	96	3	0	3	48119	48	392	0	0	0	0	1	392	1661	6	0	2	
245,	96	2	0	2	48362	48	0	0	0	0	0	1	0	1577	4	0	2	
246,	96	1	0	1	48268	48	0	0	0	0	0	1	0	1612	2	0	2	
247,	96	2	0	2	48278	48	0	0	0	0	0	1	0	1893	4	0	2	
248,	96	1	0	1	48268	48	0	0	0	0	0	1	0	1612	2	0	2	
249,	96	4	0	4	47793	48	495	0	0	0	0	2	495	4451	8	0	2	
250,	96	5	0	5	48232	49	570	0	0	0	0	1	570	984	10	0	2	
251,	96	3	0	3	47967	48	491	0	0	0	0	2	491	3639	6	0	2	
252,	96	2	8	13	47201	48	1899	3	3	2	1	2	732	13696	22	1056	1	
253,	96	1	0	1	48268	48	0	0	0	0	0	1	0	1612	2	0	2	
254,	96	2	0	2	48311	48	0	0	0	0	0	1	0	1724	4	0	2	
255,	96	5	0	5	48443	49	338	0	0	0	0	1	338	1928	10	0	2	
256,	97	14	0	14	48654	48	1937	0	0	0	0	1	1937	4419	28	0	2	
257,	97	2	0	2	48387	48	134	0	0	0	0	1	134	2496	4	0	2	
258,	97	3	0	3	48683	48	846	0	0	0	0	1	846	2900	6	0	2	
259,	97	3	0	3	48438	48	139	0	0	0	0	1	139	3210	6	0	2	
260,	97	2	0	2	48569	48	57	0	0	0	0	1	57	2507	4	0	2	
261,	97	8	0	8	48087	45	1162	0	0	0	0	3	1162	13124	16	0	1	
262,	97	1	0	1	48386	48	0	0	0	0	0	1	0	2345	2	0	2	
263,	97	3	0	3	47730	47	980	0	0	0	0	2	980	8854	6	0	1	
264,	97	1	0	1	48712	48	0	0	0	0	0	1	0	3116	2	0	2	
265,	97	2	0	2	48702	48	77	0	0	0	0	1	77	2350	4	0	2	
266,	97	5	0	7	48367	47	1411	1	1	0	1	2	1393	8509	14	0	1	
267,	97	5	0	5	48708	47	204	0	0	0	0	1	204	3363	10	0	2	
268,	97	21	10	31	48052	47	3853	3	3	3	1	1	3686	14378	58	167	1	
269,	97	2	0	2	48618	48	338	0	0	0	0	1	338	2869	4	0	2	
270,	97	3	0	3	48285	48	6	0	0	0	0	1	6	3296	6	0	2	
271,	97	7	2	9	48434	48	582	1	1	1	1	1	580	8026	18	2	2	
272,	97	2	0	2	48281	48	2	0	0	0	0	1	2	2457	4	0	2	
273,	97	2	0	2	48645	48	2	0	0	0	0	1	2	3335	4	0	2	
274,	97	2	0	2	48643	48	0	0	0	0	0	1	0	3000	4	0	2	
275,	97	2	0	2	48632	48	69	0	0	0	0	1	69	3018	4	0	2	
276,	97	4	0	4	48647	48	728	0	0	0	0	1	728	2693	8	0	2	
277,	97	4	0	4	48483	48	386	0	0	0	0	1	386	2872	8	0	2	
278,	97	1	0	1	48390	48	0	0	0	0	0	1	0	3486	2	0	2	
279,	97	3	0	3	48662	48	56	0	0	0	0	1	56	3231	6	0	2	
280,	97	2	0	2	48448	48	81	0	0	0	0	1	81	3009	4	0	2	
281,	97	2	0	2	48515	48	199	0	0	0	0	1	199	2897	4	0	2	
282,	97	1	0	1	48684	48	0	0	0	0	0	1	0	2254	2	0	2	
283,	97	2	0	2	48656	48	50	0	0	0	0	1	50	1925	4	0	2	
284,	97	2	0	2	48565	47	38	0	0	0	0	1	38	2762	4	0	2	
285,	97	2	0	2	48678	48	0	0	0	0	0	1	0	1709	4	0	2	
286,	97	3	0	3	48695	48	0	0	0	0	0	1	0	1830	6	0	2	
287,	97	1	0	1	48638	48	0	0	0	0	0	1	0	1678	2	0	2	
288,	97	2	0	2	48638	48	128	0	0	0	0	1	128	1875	4	0	2	
289,	97	1	0	1	48638	48	0	0	0	0	0	1	0	1678	2	0	2	
290,	97	3	0	3	48676	48	192	0	0	0	0	1	192	1936	6	0	2	
291,	97	3	0	3	48642	48	691	0	0	0	0	1	691	2356	6	0	2	
292,	97	2	0	2	48676	48	0	0	0	0	0	1	0	1704	4	0	2	
293,	97	2	0	2	48676	48	0	0	0	0	0	1	0	1704	4	0	2	
294,	97	2	0	2	48640	48	51	0	0	0	0	1	51	1873	4	0	2	
295,	97	2	0	2	48681	48	254	0	0	0	0	1	254	1802	4	0	2	
296,	97	2	0	2	48638	48	52	0	0	0	0	1	52	1918	4	0	2	
297,	97	2	0	2	48639	48	93	0	0	0	0	1	93	1888	4	0	2	
298,	97	1	0	1	48638	48	0	0	0	0	0	1	0	1678	2	0	2	
299,	97	1	0	1	48638	48	0	0	0	0	0	1	0	1678	2	0	2	
300,	97	3	0	3	48519	48	582	0	0	0	0	2	582	4174	6	0	2	
301,	97	4	0	4	48641	48	340	0	0	0	0	1	340	2301	8	0	2	
302,	97	5	7	14	47989	45	3915	3	3	2	1	2	2166	19267	24	1731	0	
303,	97	2	0	2	48794	48	824	0	0	0	0	1	824	1175	4	0	2	
304,	97	1	0	1	48638	48	0	0	0	0	0	1	0	1678	2	0	2	
305,	97	3	0	5	48525	49	532	1	1	0	1	1	358	3521	10	0	2	
306,	97	2	0	2	48661	48	631	0	0	0	0	1	631	2369	4	0	2	
307,	97	2	0	2	48678	48	0	0	0	0	0	1	0	1709	4	0	2	
308,	97	2	0	2	48638	48	0	0	0	0	0	1	0	2002	4	0	2	
309,	97	4	0	4	48403	47	82	0	0	0	0	1	82	3745	8	0	2	
310,	97	6	0	6	48512	49	462	0	0	0	0	1	462	3982	12	0	2	
311,	97	2	0	2	48687	48	105	0	0	0	0	1	105	2514	4	0	2	
312,	97	1	0	1	48534	47	0	0	0	0	0	1	0	4469	2	0	2	
313,	97	1	0	1	48534	47	0	0	0	0	0	1	0	4469	2	0	2	
314,	97	1	0	1	48664	47	0	0	0	0	0	1	0	2989	2	0	2	
315,	97	4	0	4	48558	47	1394	0	0	0	0	3	1394	8856	8	0	1	
316,	97	1	0	1	48561	48	0	0	0	0	0	1	0	2318	2	0	2	
317,	97	1	0	1	48561	48	0	0	0	0	0	1	0	2318	2	0	2	
318,	97	1	0	1	48561	48	0	0	0	0	0	1	0	2318	2	0	2	
319,	97	1	0	1	48561	48	0	0	0	0	0	1	0	2318	2	0	2	
320,	97	1	0	1	48561	48	0	0	0	0	0	1	0	2318	2	0	2	
321,	97	2	0	2	48570	48	174	0	0	0	0	1	174	2502	4	0	2	
322,	97	2	0	2	48577	48	227	0	0	0	0	1	227	2663	4	0	2	
323,	97	2	0	2	48366	48	1	0	0	0	0	1	1	2595	4	0	2	
324,	97	1	0	1	48702	48	0	0	0	0	0	1	0	2717	2	0	2	
325,	97	2	0	2	48073	47	491	0	0	0	0	2	491	6393	4	0	2	
326,	97	2	0	2	48605	48	226	0	0	0	0	1	226	2590	4	0	2	
327,	97	1	0	1	48561	48	0	0	0	0	0	1	0	2318	2	0	2	
328,	97	2	0	2	48556	48	39	0	0	0	0	1	39	2394	4	0	2	
329,	97	2	0	2	48683	47	18	0	0	0	0	1	18	3340	4	0	2	
330,	97	1	0	1	48664	47	0	0	0	0	0	1	0	2989	2	0	2	
331,	97	1	0	1	48605	48	0	0	0	0	0	1	0	1923	2	0	2	
332,	97	1	0	1	48605	48	0	0	0	0	0	1	0	1923	2	0	2	
333,	97	1	0	1	48605	48	0	0	0	0	0	1	0	1923	2	0	2	
334,	97	2	0	2	48487	47	491	0	0	0	0	2	491	5735	4	0	2	
335,	97	3	0	3	48556	48	242	0	0	0	0	1	242	3126	6	0	2	
336,	97	5	0	5	48438	47	165	0	0	0	0	1	165	4387	10	0	2	
337,	97	5	0	5	48294	47	653	0	0	0	0	2	653	7486	10	0	2	
338,	97	2	0	2	48571	48	48	0	0	0	0	1	48	2527	4	0	2	
